session_name,hostname,vendor,siteId
MTC-DNGSTA11_DNST01,10.250.221.1,Nokia,DNST01
MTC-DNGCLE11_DNCL92,10.250.221.2,Nokia,DNCL92
CSG-DNST01_IXR-E,10.250.224.56,Nokia,DNST01
CSG-DNST37_IXR-E,10.250.224.57,Nokia,DNST37
CSG-DNST06_IXR-E,10.250.224.58,Nokia,DNST06
CSG-DNHC13_IXR-E,10.250.224.30,Nokia,DNHC13
CSG-DNHC64_IXR-E,10.250.224.31,Nokia,DNHC64
CSG-DNHC29_IXR-E,10.250.224.32,Nokia,DNHC29
CSG-DNTK04_IXR-E,10.250.224.33,Nokia,DNTK04
CSG-DNTK27_IXR-E,10.250.224.34,Nokia,DNTK27
CSG-DNHC17_IXR-E,10.250.224.35,Nokia,DNHC17
CSG-DNHC40_IXR-E,10.250.224.36,Nokia,DNHC40
CSG-DNHC28_IXR-E,10.250.224.37,Nokia,DNHC28
CSG-DNHC16_IXR-E,10.250.224.38,Nokia,DNHC16
CSG-DNHC02_IXR-E,10.250.224.39,Nokia,DNHC02
CSG-DNHC23_IXR-E,10.250.224.40,Nokia,DNHC23
CSG-DNHC20_IXR-E,10.250.224.48,Nokia,DNHC20
CSG-DNTK13_IXR-E,10.250.224.49,Nokia,DNTK13
CSG-DNTK10_IXR-E,10.250.224.50,Nokia,DNTK10
CSG-DNTK14_IXR-E,10.250.224.51,Nokia,DNTK14
CSG-DNHC07_IXR-E,10.250.224.9,Nokia,DNHC07
CSG-DNHC49_IXR-E,10.250.224.10,Nokia,DNHC49
CSG-DNCL08_IXR-E,10.250.224.11,Nokia,DNCL08
CSG-DNCL09_IXR-E,10.250.224.12,Nokia,DNCL09
CSG-DNCL07_IXR-E,10.250.224.5,Nokia,DNCL07
CSG-DNCL18_IXR-E,10.250.224.6,Nokia,DNCL18
CSG-DNCL30_IXR-E,10.250.224.7,Nokia,DNCL30
CSG-DNCL28_IXR-E,10.250.224.8,Nokia,DNCL28
CSG-DNCL12_IXR-E,10.250.224.41,Nokia,DNCL12
CSG-DNCL15_IXR-E,10.250.224.42,Nokia,DNCL15
CSG-DNTK02_IXR-E,10.250.224.43,Nokia,DNTK02
CSG-DNTK16_IXR-E,10.250.224.21,Nokia,DNTK16
CSG-DNTK34_IXR-E,10.250.224.22,Nokia,DNTK34
CSG-DNTK36_IXR-E,10.250.224.23,Nokia,DNTK36
CSG-DNLC1A_IXR-E,10.250.224.24,Nokia,DNLC1A
CSG-DNTK26_IXR-E,10.250.224.70,Nokia,DNTK26
CSG-DNTK08_IXR-E,10.250.224.71,Nokia,DNTK08
CSG-DNCL04_IXR-E,10.250.224.72,Nokia,DNCL04
CSG-DNLC30_IXR-E,10.250.224.73,Nokia,DNLC30
CSG-DNCL31_IXR-E,10.250.224.44,Nokia,DNCL31
CSG-DNLC06_IXR-E,10.250.224.45,Nokia,DNLC06
CSG-DNLC21_IXR-E,10.250.224.46,Nokia,DNLC21
CSG-DNLC23_IXR-E,10.250.224.47,Nokia,DNLC23
CSG-DNHV01_IXR-E,10.250.224.59,Nokia,DNHV01
CSG-DNHV34_IXR-E,10.250.224.60,Nokia,DNHV34
CSG-DNHV10_IXR-E,10.250.224.61,Nokia,DNHV10
CSG-DNHW03_IXR-E,10.250.224.62,Nokia,DNHW03
CSG-DNHW22_IXR-E,10.250.224.63,Nokia,DNHW22
CSG-DNHW06_IXR-E,10.250.224.64,Nokia,DNHW06
CSG-DNHW02_IXR-E,10.250.224.1,Nokia,DNHW02
CSG-DNLC04_IXR-E,10.250.224.2,Nokia,DNLC04
CSG-DNLC36_IXR-E,10.250.224.3,Nokia,DNLC36
CSG-DNLC1P_IXR-E,10.250.224.4,Nokia,DNLC1P
CSG-DNHW23_IXR-E,10.250.224.25,Nokia,DNHW23
CSG-DNLC11_IXR-E,10.250.224.26,Nokia,DNLC11
CSG-DNLC22_IXR-E,10.250.224.27,Nokia,DNLC22
CSG-DNLC13_IXR-E,10.250.224.28,Nokia,DNLC13
CSG-DNLC07_IXR-E,10.250.224.29,Nokia,DNLC07
CSG-DNLC16_IXR-E,10.250.224.52,Nokia,DNLC16
CSG-DNLC32_IXR-E,10.250.224.53,Nokia,DNLC32
CSG-DNLC18_IXR-E,10.250.224.54,Nokia,DNLC18
CSG-DNLC02_IXR-E,10.250.224.55,Nokia,DNLC02
CSG-DNST19_IXR-E,10.250.224.65,Nokia,DNST19
CSG-DNST32_IXR-E,10.250.224.66,Nokia,DNST32
CSG-DNST04_IXR-E,10.250.224.67,Nokia,DNST04
CSG-DNST07_IXR-E,10.250.224.68,Nokia,DNST07
CSG-DNST71_IXR-E,10.250.224.69,Nokia,DNST71
CSG-DNST28_IXR-E,10.250.224.17,Nokia,DNST28
CSG-DNST02_IXR-E,10.250.224.18,Nokia,DNST02
CSG-DNST34_IXR-E,10.250.224.19,Nokia,DNST34
CSG-DNTK01_IXR-E,10.250.224.20,Nokia,DNTK01
CSG-DNNH11_IXR-E,10.250.224.13,Nokia,DNNH11
CSG-DNNH59_IXR-E,10.250.224.14,Nokia,DNNH59
CSG-DNNH58_IXR-E,10.250.224.15,Nokia,DNNH58
CSG-DNNH26_IXR-E,10.250.224.16,Nokia,DNNH26
AGG-DNGHCU31_DNHC13,10.250.221.4,Nokia,DNHC13
AGG-DNGHCU21_DNHC17,10.250.221.5,Nokia,DNHC17
AGG-DNGTKE11_DNTK01,10.250.221.6,Nokia,DNTK01
AGG-DNGSTA11_DNST01,10.250.221.3,Nokia,DNST01
AGG-DNGHCU11_DNHC07,10.250.221.7,Nokia,DNHC07
AGG-DNGCLE11_DNCL28,10.250.221.8,Nokia,DNCL28
