name,ip,vendor,siteId
CSG-PYDH05,10.250.83.24,Juniper,PYDH05
CSG-PYDH07,10.250.83.30,Juniper,PYDH07
CSG-PYDH08,10.250.83.26,Juniper,PYDH08
CSG-PYDH09,10.250.83.22,Juniper,PYDH09
CSG-PYDH10,10.250.83.198,Juniper,PYDH10
CSG-PYDH11,10.250.83.28,Juniper,PYDH11
CSG-PYDH12,10.250.83.32,Juniper,PYDH12
CSG-PYDH13,10.250.83.33,Juniper,PYDH13
CSG-PYDH14,10.250.83.34,Juniper,PYDH14
CSG-PYDH17,10.250.83.29,Juniper,PYDH17
CSG-PYDH19,10.250.83.27,Juniper,PYDH19
CSG-PYDH20,10.250.83.31,Juniper,PYDH20
CSG-PYDH21,10.250.83.202,Juniper,PYDH21
CSG-PYDH23,10.250.83.25,Juniper,PYDH23
CSG-PYDH24,10.250.83.40,Juniper,PYDH24
CSG-PYDH28,10.250.83.36,Juniper,PYDH28
CSG-PYDH30,10.250.83.35,Juniper,PYDH30
CSG-PYDX01,10.250.83.236,Juniper,PYDX01
CSG-PYDX03,10.250.83.230,Juniper,PYDX03
CSG-PYDX04,10.250.83.237,Juniper,PYDX04
CSG-PYDX05,10.250.83.234,Juniper,PYDX05
CSG-PYDX08,10.250.83.238,Juniper,PYDX08
CSG-PYDX20,10.250.83.232,Juniper,PYDX20
CSG-PYDX23,10.250.83.231,Juniper,PYDX23
CSG-PYDX25,10.250.83.233,Juniper,PYDX25
CSG-PYPH01,10.250.83.218,Juniper,PYPH01
CSG-PYPH02,10.250.83.207,Juniper,PYPH02
CSG-PYPH03,10.250.83.211,Juniper,PYPH03
CSG-PYPH04,10.250.83.208,Juniper,PYPH04
CSG-PYPH07,10.250.83.204,Juniper,PYPH07
CSG-PYPH08,10.250.83.205,Juniper,PYPH08
CSG-PYPH09,10.250.83.215,Juniper,PYPH09
CSG-PYPH10,10.250.83.217,Juniper,PYPH10
CSG-PYPH11,10.250.83.214,Juniper,PYPH11
CSG-PYPH12,10.250.83.213,Juniper,PYPH12
CSG-PYPH13,10.250.83.212,Juniper,PYPH13
CSG-PYPH17,10.250.83.203,Juniper,PYPH17
CSG-PYPH18,10.250.83.210,Juniper,PYPH18
CSG-PYPH19,10.250.83.206,Juniper,PYPH19
CSG-PYPH26,10.250.83.216,Juniper,PYPH26
CSG-PYPY01,10.250.83.14,Juniper,PYPY01
CSG-PYPY04,10.250.83.17,Juniper,PYPY04
CSG-PYPY05,10.250.83.209,Juniper,PYPY05
CSG-PYPY06,10.250.83.20,Juniper,PYPY06
CSG-PYPY09,10.250.83.41,Juniper,PYPY09
CSG-PYPY10,10.250.83.9,Juniper,PYPY10
CSG-PYPY13,10.250.83.37,Juniper,PYPY13
CSG-PYPY14,10.250.83.252,Juniper,PYPY14
CSG-PYPY16,10.250.83.11,Juniper,PYPY16
CSG-PYPY20,10.250.83.19,Juniper,PYPY20
CSG-PYPY21,10.250.83.2,Juniper,PYPY21
CSG-PYPY32,10.250.83.21,Juniper,PYPY32
CSG-PYPY33,10.250.83.23,Juniper,PYPY33
CSG-PYPY34,10.250.83.38,Juniper,PYPY34
CSG-PYPY35,10.250.83.42,Juniper,PYPY35
CSG-PYPY38,10.250.83.255,Juniper,PYPY38
CSG-PYPY39,10.250.83.1,Juniper,PYPY39
CSG-PYPY40,10.250.83.15,Juniper,PYPY40
CSG-PYPY42,10.250.83.39,Juniper,PYPY42
CSG-PYPY46,10.250.83.12,Juniper,PYPY46
CSG-PYPY47,10.250.83.13,Juniper,PYPY47
CSG-PYPY49,10.250.83.10,Juniper,PYPY49
CSG-PYPY54,10.250.83.18,Juniper,PYPY54
CSG-PYPY58,10.250.83.8,Juniper,PYPY58
CSG-PYPY59,10.250.83.3,Juniper,PYPY59
CSG-PYPY60,10.250.83.5,Juniper,PYPY60
CSG-PYPY63,10.250.83.4,Juniper,PYPY63
CSG-PYPY66,10.250.83.6,Juniper,PYPY66
CSG-PYPY67,10.250.83.7,Juniper,PYPY67
CSG-PYPY68,10.250.83.16,Juniper,PYPY68
CSG-PYSA05,10.250.83.221,Juniper,PYSA05
CSG-PYSA09,10.250.83.225,Juniper,PYSA09
CSG-PYSA10,10.250.83.222,Juniper,PYSA10
CSG-PYSA11,10.250.83.223,Juniper,PYSA11
CSG-PYSA12,10.250.83.224,Juniper,PYSA12
CSG-PYSA13,10.250.83.226,Juniper,PYSA13
CSG-PYSA14,10.250.83.220,Juniper,PYSA14
CSG-PYSA16,10.250.83.219,Juniper,PYSA16
CSG-PYTA01,10.250.83.243,Juniper,PYTA01
CSG-PYTA05,10.250.83.246,Juniper,PYTA05
CSG-PYTA06,10.250.83.239,Juniper,PYTA06
CSG-PYTA07,10.250.83.244,Juniper,PYTA07
CSG-PYTA08,10.250.83.249,Juniper,PYTA08
CSG-PYTA09,10.250.83.235,Juniper,PYTA09
CSG-PYTA10,10.250.83.227,Juniper,PYTA10
CSG-PYTA11,10.250.83.228,Juniper,PYTA11
CSG-PYTA12,10.250.83.254,Juniper,PYTA12
CSG-PYTA13,10.250.83.248,Juniper,PYTA13
CSG-PYTA15,10.250.83.241,Juniper,PYTA15
