Name;IP Address;Vendor;SiteId
CSG-KHCL02;10.250.92.59;Nokia;KHCL02
CSG-KHCL03-2;10.250.169.34;Nokia;KHCL03
CSG-KHCL12;10.250.92.63;Nokia;KHCL12
CSG-KHCL17;10.250.92.64;Nokia;KHCL17
CSG-KHCL18;10.250.92.65;Nokia;KHCL18
CSG-KHCL23;10.250.92.7;Nokia;KHCL23
CSG-KHCL23-2;10.250.169.161;Nokia;KHCL23
CSG-KHCL47;10.250.92.62;Nokia;KHCL47
CSG-KHCLMA01;10.250.92.74;Nokia;KHCLMA01
CSG-KHCR02;10.250.92.66;Nokia;KHCR02
CSG-KHCR04;10.250.92.68;Nokia;KHCR04
CSG-KHCR10;10.250.92.73;Nokia;KHCR10
CSG-KHCR13;10.250.92.67;Nokia;KHCR13
CSG-KHCR14;10.250.92.61;Nokia;KHCR14
CSG-KHCR18;10.250.92.69;Nokia;KHCR18
CSG-KHCR19;10.250.92.56;Nokia;KHCR19
CSG-KHCR27;10.250.92.60;Nokia;KHCR27
CSG-KHCR47;10.250.92.57;Nokia;KHCR47
CSG-KHCR49;10.250.92.58;Nokia;KHCR49
CSG-KHCR50;10.250.92.71;Nokia;KHCR50
CSG-KHCR52;10.250.92.70;Nokia;KHCR52
CSG-KHCR52-2;10.250.169.160;Nokia;KHCR52
CSG-KHCR53;10.250.92.72;Nokia;KHCR53
CSG-KHDK06;10.250.92.6;Nokia;KHDK06
CSG-KHDK08;10.250.92.34;Nokia;KHDK08
CSG-KHDK12;10.250.92.8;Nokia;KHDK12
CSG-KHDK13;10.250.92.5;Nokia;KHDK13
CSG-KHDK15;10.250.92.2;Nokia;KHDK15
CSG-KHDK25;10.250.92.4;Nokia;KHDK25
CSG-KHDK25-2;10.250.169.158;Nokia;KHDK25
CSG-KHDK37;10.250.92.3;Nokia;KHDK37
CSG-KHDKMA01;10.250.92.1;Nokia;KHDKMA01
CSG-KHDKMA01-2;10.250.169.159;Nokia;KHDKMA01
